time,lat,lon,spei12,region
2000-02-15,28.25,-2.25,-1.1022671,Draa-Tafilalet
2000-02-15,28.25,-1.75,-1.2750221,Draa-Tafilalet
2000-02-15,28.25,-1.25,-1.1849514,Draa-Tafilalet
2000-02-15,28.75,-16.25,-0.33375263,Laayoune-Sakia El Hamra
2000-02-15,28.75,-13.75,-0.70319813,Laayoune-Sakia El Hamra
2000-02-15,28.75,-11.25,-1.2517458,Guelmim-Oued Noun
2000-02-15,28.75,-10.75,-1.2214385,Guelmim-Oued Noun
2000-02-15,28.75,-10.25,-1.1192673,Guelmim-Oued Noun
2000-02-15,28.75,-9.75,-1.0726998,Guelmim-Oued Noun
2000-02-15,28.75,-9.25,-1.0300285,Guelmim-Oued Noun
2000-02-15,28.75,-8.75,-0.9726498,Guelmim-Oued Noun
2000-02-15,28.75,-8.25,-1.0861068,Souss-Massa
2000-02-15,28.75,-7.75,-1.0884726,Souss-Massa
